id,Carats,Cert,Clarity,Color,Cut,Depth,Known_Conflict_Diamond,Measurements,Polish,Regions,Shape,Symmetry,Table,Vendor,Price,Retail,LogPrice,LogRetail
87,0.4,AGSL,VS1,K, ,62,FALSE,4.7x4.68x2.91,Excellent,Australia,Round,Very good,60,1,695,1140,6.54391184556479,7.03878354138854
88,0.4,AGSL,SI2,J, ,NA,FALSE,4.67x4.66x2.93,Excellent,Russia,Round,Very good,NA,1,695,1140,6.54391184556479,7.03878354138854
89,0.4,AGSL,SI2,J, ,64.1,FALSE,4.6x4.63x2.96, ,DR Congo,Emerald, ,56,1,695,1020,6.54391184556479,6.92755790627832
90,0.4,AGSL,VVS1,K, ,63.2,FALSE,4.67x4.64x2.94,Excellent,Australia,Oval,Very good,58,1,695,1145,6.54391184556479,7.04315991598834
91,0.4,AGSL,VS1,K, ,62.2,FALSE,4.68x4.66x2.91,Very good,Australia,Round,Very good,59,1,695,1140,6.54391184556479,7.03878354138854
92,0.41,AGSL,SI2,J, ,59.3,FALSE,4.85x4.84x2.87,Excellent,Other/Unknown,Radiant,Excellent,NA,1,700,1155,6.5510803350434,7.05185562295589
93,0.4,AGSL,SI1,J, ,62.7,FALSE,4.67x4.63x2.91,Excellent,Angola,Marquise,Very good,60,1,555,1155,6.31896811374643,7.05185562295589
94,0.41,AGSL,VS2,K, ,60.6,FALSE,4.84x4.81x2.93,Very good,Botswana,Pear,Excellent,60,1,700,1010,6.5510803350434,6.9177056098353
95,0.42,AGSL,VVS2,L, ,59.9,FALSE,4.91x4.88x2.93,Very good,Australia,Princess,Excellent,58,1,700,1150,6.5510803350434,7.0475172213573
96,0.4,AGSL,SI1,J, ,61.8,TRUE,4.76x4.72x2.93,Very good,Angola,Round,Excellent,58,1,700,75,6.5510803350434,4.31748811353631
97,0.43,AGSL,VVS2,L, ,62.2,FALSE,4.84x4.81x3,Very good,Russia,Round,Excellent,57,1,705,1160,6.55819780281227,7.05617528410041
98,0.4,AGSL,VVS1,K, ,63.1,FALSE,4.68x4.66x2.95,Very good,Australia,Princess,Excellent,58,1,705,1165,6.55819780281227,7.0604763659998
99,0.4,AGSL,VVS1,K, ,63.5,FALSE,4.65x4.62x2.95,Very good,Other/Unknown,Pear,Excellent,NA,1,705,1135,6.55819780281227,7.0343879299155
100,0.4,AGSL,VS2,J, ,64.8,FALSE,4.64x4.61x3,Excellent,Russia,Princess,Very good,NA,1,705,1165,6.55819780281227,7.0604763659998
101,0.4,AGSL,VVS1,K, ,59,FALSE,4.82x4.79x2.84,Excellent,Botswana,Oval,Good,NA,1,705,1085,6.55819780281227,6.98933526597456
102,0.4,AGSL,SI2,J, ,60.2,FALSE,4.76x4.73x2.86,Excellent,Botswana,Emerald,Very good,NA,1,705,1120,6.55819780281227,7.02108396428914
103,0.4,AGSL,SI1,J, ,63.6,FALSE,4.67x4.64x2.96,Excellent,Botswana,Round,Very good,57,1,710,1130,6.56526497003536,7.02997291170639
104,0.4,AGSL,SI2,J, ,61.4,FALSE,4.76x4.75x2.92,Very good,Russia,Round,Very good,NA,1,715,1175,6.57228254269401,7.06902342657826
105,0.45,AGSL,SI1,K, ,62.2,FALSE,4.92x4.9x3.05,Excellent,Botswana,Round,Excellent,56,1,715,1120,6.57228254269401,7.02108396428914
106,0.4,AGSL,VS2,J, ,64.5,FALSE,4.63x4.62x2.98,Excellent,Russia,Cushion,Very good,NA,1,715,1180,6.57228254269401,7.07326971745971
107,0.4,AGSL,VS2,J, ,59.5,FALSE,4.77x4.8x2.85,Good,Botswana,Pear,Good,62,1,720,1025,6.5792512120101,6.93244789157251
108,0.41,AGSL,VS1,K, ,61.8,FALSE,4.79x4.76x2.95,Excellent,Australia,Radiant,Excellent,57,1,720,1190,6.5792512120101,7.08170858610557
109,0.4,AGSL,VS2,J, ,64,FALSE,4.68x4.64x2.98,Very good,Australia,Oval,Very good,55,1,725,825,6.58617165485467,6.71538338633468
110,0.4,AGSL,SI2,I, ,NA,TRUE,4.63x4.6x3.04,Excellent,Angola,Round,Very good,NA,1,725,110,6.58617165485467,4.70048036579242
111,0.4,AGSL,VVS1,K, ,59.6,FALSE,4.8x4.78x2.86,Very good,Russia,Round,Very good,62,1,725,1200,6.58617165485467,7.09007683577609
112,0.4,AGSL,VVS1,K, ,63.1,FALSE,4.7x4.67x2.96,Very good,Russia,Marquise,Excellent,NA,1,725,825,6.58617165485467,6.71538338633468
113,0.4,GemEx,VS2,J, ,58.2,FALSE,4.83x4.8x2.8,Very good,Russia,Round,Very good,NA,1,725,1200,6.58617165485467,7.09007683577609
114,0.41,AGSL,SI2,I, ,61.7,FALSE,4.78x4.75x2.94,Very good,Australia,Marquise,Very good,56,1,725,1190,6.58617165485467,7.08170858610557
115,0.4,AGSL,SI2,H, ,64.4,FALSE,4.59x4.55x2.95,Very good,Russia,Round,Very good,59,1,730,1200,6.59304453414244,7.09007683577609
116,0.4,AGSL,SI2,H, ,NA,FALSE,4.66x4.68x3, ,Russia,Round, ,55,1,730,1205,6.59304453414244,7.09423484592476
117,0.41,NA,SI2,J, ,61.8,FALSE,4.8x4.78x2.96,Very good,Australia,Round,Excellent,58,2,600,955,6.39692965521615,6.86171134048073
118,0.41,AGSL,VS1,K, ,62.4,FALSE,4.76x4.74x2.96,Very good,Botswana,ROUND,Excellent,56,1,730,1125,6.59304453414244,7.02553831463852
119,0.4,AGSL,SI1,J, ,62.9,FALSE,4.7x4.68x2.95,Very good,South Africa,Round,Very good,NA,1,730,995,6.59304453414244,6.90274273715859
120,0.41,GemEx,SI2,J, ,NA,FALSE,4.85x4.82x2.89,Excellent,Russia,Marquise,Very good,58,1,730,1205,6.59304453414244,7.09423484592476
121,0.41,AGSL,SI1,J, ,63.7,FALSE,4.66x4.64x2.96,Very good,DR Congo,Round,Excellent,58,1,730,1105,6.59304453414244,7.00760061395185
122,0.41,AGSL,SI2,J, ,63,FALSE,4.74x4.71x2.98,Very good,Russia,Radiant,Very good,55,2,730,1205,6.59304453414244,7.09423484592476
123,0.4,AGSL,SI2,H, ,63.5,FALSE,4.63x4.61x2.93,Very good,Botswana,Round,Good,58,1,730,1110,6.59304453414244,7.01211529430638
124,0.4,AGSL,SI1,J, ,62.3,FALSE,4.73x4.7x2.94,Very good,Botswana,Asscher,Very good,58,1,730,960,6.59304453414244,6.86693328446188
125,0.43,AGSL,VVS2,L, ,61.8,FALSE,4.85x4.83x2.99,Excellent,Botswana,Princess,Excellent,57,1,735,985,6.59987049921284,6.89264164117209
126,0.41,AGSL,SI2,I, ,62.8,FALSE,4.76x4.73x2.98,Excellent,DR Congo,Round,Excellent,56,1,735,1135,6.59987049921284,7.0343879299155
127,0.41,AGSL,SI2,I, ,61.7,FALSE,4.81x4.77x2.96,Excellent,Angola,Round,Excellent,56,1,735,1210,6.59987049921284,7.09837563859079
128,0.4,AGSL,SI1,J, ,61.2,FALSE,4.78x4.75x2.92,Excellent,Canada,Radiant,Excellent,59,1,740,1225,6.60665018619822,7.11069612297883
129,0.41,AGSL,SI2,J, ,61.7,FALSE,4.78x4.75x2.94,Very good,Angola,Oval,Excellent,58,1,740,1220,6.60665018619822,7.1066061377273
130,0.41,AGSL,SI1,J, ,61.2,FALSE,4.82x4.79x2.94,Excellent,Russia,Round,Very good,57,1,740,1220,6.60665018619822,7.1066061377273
131,0.4,AGSL,SI2,I, ,62.1,FALSE,4.68x4.67x2.9,Very good,DR Congo,Marquise,Good,56,1,635,1185,6.45362499889269,7.07749805356923
132,0.4,AGSL,SI1,J, ,64,TRUE,4.66x4.62x2.97,Very good,DR Congo,Round,Very good,58,1,740,95,6.60665018619822,4.55387689160054
133,0.45,AGSL,VVS1,K, ,62.7,FALSE,4.91x4.88x3.07,Very good,Russia,Round,Excellent,NA,1,745,1230,6.61338421837956,7.11476944836646
134,0.41,AGSL,SI1,J, ,NA,FALSE,4.76x4.73x2.97,Excellent,Angola,Emerald,Excellent,56,1,750,1235,6.62007320653036,7.11882624906208
135,0.4,AGSL,SI1,J, ,NA,FALSE,4.78x4.74x2.89,Very good,Canada,Emerald,Very good,NA,1,750,1240,6.62007320653036,7.12286665859908
136,0.43,AGSL,VVS2,K, ,61.4,FALSE,4.89x4.86x2.99,Very good,Botswana,ROUND,Very good,58,1,755,1050,6.62671774924902,6.95654544315157
137,0.4,AGSL,VVS2,J, ,64.5,FALSE,4.61x4.59x2.97,Excellent,Botswana,Radiant,Very good,58,1,755,950,6.62671774924902,6.85646198459459
138,0.42,AGSL,VVS1,K, ,NA,FALSE,4.81x4.79x2.98,Very good,South Africa,Round,Excellent,NA,1,755,1230,6.62671774924902,7.11476944836646
139,0.4,AGSL,SI2,G, ,59.9,FALSE,4.82x4.79x2.88,Excellent,DR Congo,Princess,Very good,NA,1,755,1160,6.62671774924902,7.05617528410041
140,0.5,AGSL,I1,J, ,61.2,FALSE,5.1x5.08x3.12,Excellent,South Africa,Round,Very good,56,1,755,1175,6.62671774924902,7.06902342657826
141,0.4,AGSL,SI2,I, ,60.3,FALSE,4.81x4.78x2.89,Very good,Russia,Round,Very good,57,1,760,985,6.63331843328038,6.89264164117209
142,0.42,AGSL,SI2,J, ,62.2,TRUE,4.79x4.78x2.98,Excellent,DR Congo,Round,Very good,61,1,760,110,6.63331843328038,4.70048036579242
143,0.4,AGSL,SI2,G, ,64.7,FALSE,4.58x4.6x2.97, ,Russia,Princess, ,55,1,765,1260,6.63987583382654,7.13886699994552
144,0.4,AGSL,SI2,H, ,62.3,FALSE,4.73x4.71x2.94,Excellent,South Africa,Round,Very good,57,1,765,1060,6.63987583382654,6.96602418710611
145,0.4,AGSL,VVS2,J, ,62.3,FALSE,4.75x4.7x2.94,Excellent,Russia,Round,Excellent,57,1,765,780,6.63987583382654,6.65929391968364
146,0.41,AGSL,SI2,H, ,NA,FALSE,4.76x4.73x2.95,Very good,Botswana,Marquise,Very good,56,1,770,1260,6.64639051484773,7.13886699994552
147,0.4,AGSL,VS2,J, ,62.4,FALSE,4.71x4.66x2.93,Excellent,Russia,Princess,Excellent,59,1,770,1270,6.64639051484773,7.14677217945264
148,0.5,AGSL,SI1,M, ,NA,FALSE,5.11x5.07x3.12,Very good,Russia,Radiant,Very good,NA,1,770,1270,6.64639051484773,7.14677217945264
149,0.41,AGSL,SI1,J, ,61.8,FALSE,4.79x4.76x2.95,Excellent,DR Congo,Round,Excellent,57,1,770,1145,6.64639051484773,7.04315991598834
150,0.4,AGSL,VS2,J, ,62.2,FALSE,4.73x4.71x2.94,Excellent,Russia,Round,Very good,NA,1,770,1270,6.64639051484773,7.14677217945264
151,0.4,AGSL,VS2,J, ,NA,FALSE,4.73x4.72x2.94,Excellent,Russia,Emerald,Excellent,NA,1,770,1270,6.64639051484773,7.14677217945264
152,0.42,AGSL,VVS1,K, ,NA,FALSE,4.84x4.82x2.96,Excellent,Russia,Princess,Very good,58,1,775,1280,6.65286302935335,7.15461535691366
153,0.4,AGSL,VVS2,J, ,63.4,FALSE,4.69x4.65x2.96,Very good,Australia,Round,Very good,58,1,775,1280,6.65286302935335,7.15461535691366
154,0.4,AGSL,SI1,J, ,NA,FALSE,4.8x4.76x2.9,Excellent,Canada,Round,Excellent,58,1,775,1275,6.65286302935335,7.15070145759253
155,0.4,AGSL,SI2,G, ,64.1,FALSE,4.66x4.62x2.97,Excellent,Russia,Round,Excellent,58,1,775,1280,6.65286302935335,7.15461535691366
156,0.41,AGSL,IF,K, ,NA,FALSE,4.76x4.73x2.95,Very good,Russia,Round,Very good,NA,1,780,1195,6.65929391968364,7.08590146436561
157,0.41,AGSL,SI1,J, ,NA,FALSE,4.76x4.73x2.96,Excellent,Australia,Round,Excellent,57,1,780,1285,6.65929391968364,7.15851399732932
158,0.41,AGSL,SI1,J, ,61.6,FALSE,4.81x4.79x2.96,Very good,South Africa,Round,Excellent,NA,1,780,1060,6.65929391968364,6.96602418710611
159,0.41,AGSL,SI1,J, ,61.7,FALSE,4.79x4.77x2.95,Excellent,South Africa,Round,Excellent,57,1,780,955,6.65929391968364,6.86171134048073
160,0.4,AGSL,SI1,I, ,63.5,FALSE,4.63x4.61x2.94,Excellent,Russia,Round,Very good,59,1,785,1295,6.66568371778241,7.16626597413364
161,0.51,AGSL,I1,J, ,61.7,FALSE,5.14x5.11x3.16,Very good,South Africa,Princess,Very good,57,1,785,1240,6.66568371778241,7.12286665859908
162,0.43,AGSL,SI1,J, ,NA,FALSE,4.83x4.81x2.98,Very good,Russia,Round,Excellent,59,1,785,1295,6.66568371778241,7.16626597413364
163,0.4,AGSL,SI2,F, ,63.4,FALSE,4.69x4.64x2.95,Very good,Russia,Princess,Very good,NA,1,785,1300,6.66568371778241,7.17011954344963
164,0.4,GemEx,VVS1,J, ,63.9,FALSE,4.68x4.65x2.99,Excellent,Russia,Princess,Very good,54,1,785,950,6.66568371778241,6.85646198459459
165,0.4,AGSL,SI1,I, ,63,FALSE,4.71x4.67x2.95,Excellent,Russia,Round,Excellent,57,1,785,1295,6.66568371778241,7.16626597413364
166,0.4,AGSL,SI2,F, ,64.5,FALSE,4.64x4.62x2.98,Very good,Australia,Round,Very good,57,1,785,1300,6.66568371778241,7.17011954344963
167,0.43,NA,SI2,J, ,59.1,FALSE,4.94x4.93x2.92,Excellent,Canada,Radiant,Excellent,60,1,570,955,6.3456363608286,6.86171134048073
168,0.42,AGSL,SI1,J, ,NA,FALSE,4.81x4.8x2.98,Excellent,Canada,Radiant,Excellent,NA,1,790,1300,6.67203294546107,7.17011954344963
169,0.41,AGSL,SI2,I, ,61.4,FALSE,4.75x4.74x2.92,Excellent,Angola,Round,Very good,60,1,790,1300,6.67203294546107,7.17011954344963
