id,Carats,Cert,Clarity,Color,Cut,Depth,Known_Conflict_Diamond,Measurements,Polish,Regions,Shape,Symmetry,Table,Vendor,Offers
8079,0.4,AGSL,SI1,J, ,59.1,NA,4.82x4.79x2.84,Very good,Botswana,Asscher,Very good,61,1,NA
8080,0.4,AGSL,SI2,H, ,62.7,NA,4.75x4.72x2.97,Excellent,Canada,Pear,Excellent,55,1,NA
8081,0.43,AGSL,SI2,J, ,61.7,NA,4.82x4.77x2.96,Very good,DR Congo,Pear,Very good,59,1,NA
8082,0.4,AGSL,SI2,G, ,62.4,NA,4.73x4.7x2.95,Very good,Australia,Round,Very good,57,1,NA
8083,0.4,AGSL,SI2,G, ,NA,NA,4.72x4.7x2.93,Very good,Botswana,Round,Excellent,NA,1,NA
8084,0.4,AGSL,SI1,J, ,62,NA,4.75x4.72x2.94,Very good,Botswana,Marquise,Excellent,NA,1,NA
8085,0.4,NA,SI2,H, ,63,NA,4.68x4.66x2.94,Excellent,Other/Unknown,Emerald,Excellent,NA,1,NA
8086,0.4,AGSL,SI1,I, ,NA,NA,4.69x4.64x3,Excellent,Botswana,Princess,Very good,NA,1,NA
8087,0.41,GemEx,SI1,J, ,63.1,FALSE,4.73x4.69x2.97,Excellent,Botswana,Round,Very good,58,1,NA
8088,0.4,AGSL,VVS1,J, ,NA,NA,4.62x4.59x2.97,Very good,Angola,Round,Good,NA,1,NA
8089,0.41,AGSL,SI2,J, ,62.7,NA,4.72x4.74x2.97, ,South Africa,Round, ,NA,1,NA
8090,0.4,AGSL,VS1,J, ,63.2,NA,4.67x4.65x2.95,Very good,Botswana,Round,Very good,57,2,NA
8091,0.41,AGSL,VVS2,J, ,62.3,NA,4.78x4.74x2.97,Excellent,South Africa,Princess,Very good,58,1,NA
8092,0.4,AGSL,SI2,E, ,63.3,NA,4.6x4.64x2.92, ,Russia,Round, ,57,1,NA
8093,0.4,NA,SI2,E, ,61.4,NA,4.74x4.75x2.92, ,Botswana,Emerald, ,59,1,NA
8094,0.4,AGSL,SI2,E, ,NA,NA,4.69x4.74x2.94, ,Russia,Radiant, ,57,1,NA
8095,0.4,NA,VS2,J, ,59.3,NA,4.77x4.8x2.84,Excellent,Russia,Princess,Excellent,NA,1,NA
8096,0.4,AGSL,SI2,E, ,NA,NA,4.83x4.86x2.81, ,Botswana,Round, ,NA,1,NA
8097,0.4,AGSL,SI2,E, ,62,NA,4.68x4.7x2.91, ,South Africa,ROUND, ,56,1,NA
8098,0.4,AGSL,SI2,E, ,NA,NA,4.7x4.74x2.93, ,Russia,Asscher, ,56,1,NA
8099,0.4,AGSL,SI2,E, ,63.6,NA,4.65x4.67x2.97, ,South Africa,Round, ,55,1,NA
8100,0.4,AGSL,SI2,E, ,63.2,FALSE,4.62x4.65x2.93, ,Botswana,Round, ,NA,1,NA
8101,0.5,AGSL,VS1,M, ,64.1,NA,5.02x5x3.21,Very good,Australia,Round,Very good,NA,1,NA
8102,0.4,AGSL,VS2,I, ,62.5,FALSE,4.66x4.65x2.91,Very good,DR Congo,Radiant,Very good,59,1,NA
8103,0.4,AGSL,SI2,F, ,61.7,NA,4.73x4.72x2.91,Very good,Canada,Round,Very good,NA,1,NA
8104,0.43,NA,SI2,H, ,62.4,NA,4.81x4.79x2.99,Excellent,Russia,Oval,Excellent,57,1,NA
8105,0.4,AGSL,SI1,G, ,63.8,NA,4.67x4.63x2.97,Very good,Australia,Asscher,Excellent,56,1,NA
8106,0.4,AGSL,SI1,F, ,64.6,NA,4.65x4.62x2.99,Very good,Russia,Oval,Excellent,56,1,NA
8107,0.41,AGSL,SI2,E, ,NA,NA,4.67x4.69x2.98, ,Russia,Emerald, ,59,1,NA
8108,0.4,AGSL,SI1,I, ,63,NA,4.67x4.66x2.94,Excellent,Botswana,ROUND,Very good,58,1,NA
8109,0.4,AGSL,SI1,I, ,NA,NA,4.72x4.68x2.96,Very good,Australia,Round,Very good,NA,1,NA
8110,0.51,AGSL,SI1,M, ,62.6,NA,5.09x5.04x3.17,Very good,Russia,Round,Very good,NA,2,NA
8111,0.41,AGSL,SI2,F, ,61.9,NA,4.69x4.75x2.92, ,Russia,Round, ,59,1,NA
8112,0.4,AGSL,SI2,F, ,61.9,FALSE,4.73x4.74x2.93, ,Russia,Round, ,56,1,NA
8113,0.4,AGSL,SI1,F, ,NA,NA,4.62x4.61x3.01,Very good,Australia,Pear,Excellent,57,1,NA
8114,0.4,GemEx,SI2,H, ,NA,NA,4.77x4.74x2.89,Excellent,DR Congo,Round,Excellent,58,1,NA
8115,0.4,AGSL,SI1,I, ,NA,NA,4.73x4.71x2.94,Very good,Russia,Round,Very good,58,1,NA
8116,0.4,AGSL,SI1,H, ,63.2,NA,4.7x4.68x2.97,Very good,Canada,Emerald,Very good,55,1,NA
8117,0.4,AGSL,VS1,I, ,64.8,NA,4.63x4.6x2.99,Very good,Australia,Round,Very good,56,1,NA
8118,0.42,AGSL,SI1,I, ,60.8,NA,4.87x4.84x2.95,Excellent,Canada,Oval,Excellent,58,1,NA
8119,0.41,AGSL,VS2,J, ,60.5,NA,4.84x4.81x2.92,Excellent,Other/Unknown,Round,Excellent,58,1,NA
8120,0.4,AGSL,SI1,I, ,62.1,NA,4.75x4.73x2.94,Very good,Angola,Round,Excellent,NA,1,NA
8121,0.4,AGSL,SI1,F, ,64.1,FALSE,4.69x4.66x2.99,Very good,Other/Unknown,Round,Very good,NA,1,NA
8122,0.4,AGSL,SI1,I, ,63,NA,4.68x4.64x2.94,Very good,Canada,Princess,Very good,60,1,NA
8123,0.4,AGSL,SI1,F, ,59.2,NA,4.83x4.8x2.85,Very good,Australia,Oval ,Very good,63,1,NA
8124,0.41,AGSL,SI1,I, ,63.4,NA,4.7x4.69x2.98,Very good,Botswana,Round,Very good,57,1,NA
8125,0.43,AGSL,IF,K, ,60.8,NA,4.9x4.87x2.97,Excellent,Russia,Round,Excellent,59,1,NA
8126,0.4,AGSL,SI1,G, ,63.6,NA,4.65x4.64x2.95,Very good,DR Congo,Round,Excellent,59,1,NA
8127,0.41,AGSL,SI2,G, ,61.9,FALSE,4.75x4.74x2.94,Very good,Russia,Round,Excellent,NA,1,NA
8128,0.4,AGSL,SI2,G, ,62.9,NA,4.64x4.69x2.94, ,Russia,Round, ,NA,1,NA
8129,0.41,AGSL,SI1,I, ,NA,NA,4.76x4.75x2.95,Excellent,Botswana,Round,Excellent,NA,1,NA
8130,0.4,AGSL,SI2,F, ,61.7,NA,4.74x4.71x2.92,Very good,Russia,Round,Excellent,60,1,NA
8131,0.41,AGSL,SI1,I, ,63.7,NA,4.71x4.68x2.99,Excellent,Russia,Princess,Excellent,57,1,NA
8132,0.4,AGSL,VS2,H, ,NA,NA,4.61x4.57x2.98,Excellent,Botswana,Round,Good,NA,1,NA
8133,0.4,AGSL,SI1,F, ,63.2,NA,4.7x4.67x2.96,Very good,Angola,Round,Very good,56,1,NA
8134,0.4,AGSL,VS1,I, ,61.9,NA,4.71x4.68x2.91,Very good,Canada,Round,Good,57,1,NA
8135,0.4,AGSL,VS2,I, ,63.4,NA,4.67x4.64x2.95,Very good,South Africa,Radiant,Very good,58,1,NA
8136,0.4,AGSL,VVS2,I, ,62.7,NA,4.69x4.67x2.93,Very good,Canada,Princess,Very good,60,1,NA
8137,0.4,AGSL,VS1,I, ,62.4,NA,4.73x4.69x2.94,Excellent,Russia,Cushion,Good,NA,1,NA
8138,0.4,AGSL,VS2,I, ,62.9,NA,4.73x4.7x2.97,Excellent,South Africa,Radiant,Very good,NA,1,NA
8139,0.41,AGSL,SI2,H, ,61.9,NA,4.77x4.79x2.95, ,Angola,Pear, ,58,1,NA
8140,0.41,AGSL,SI2,G, ,59.6,NA,4.83x4.88x2.89, ,Russia,Round, ,59,1,NA
8141,0.41,NA,VS1,J, ,62.5,NA,4.77x4.74x2.97,Excellent,Russia,Round,Excellent,NA,1,NA
8142,0.42,AGSL,SI2,G, ,62.6,NA,4.8x4.75x2.99,Very good,Angola,Round,Very good,NA,1,NA
8143,0.4,AGSL,SI1,E, ,64.1,NA,4.59x4.63x2.96, ,Russia,Oval, ,57,1,NA
8144,0.4,AGSL,VS2,I, ,NA,NA,4.64x4.61x2.92,Very good,Russia,Round,Very good,NA,1,NA
8145,0.41,AGSL,SI1,H, ,61.1,NA,4.82x4.8x2.94,Excellent,Angola,Round,Very good,58,1,NA
8146,0.44,AGSL,SI2,I, ,NA,NA,4.89x4.87x3.04,Excellent,Russia,Oval ,Excellent,57,1,NA
8147,0.4,AGSL,SI1,F, ,62.1,NA,4.73x4.72x2.93,Good,Canada,Round,Excellent,NA,1,NA
8148,0.4,AGSL,SI1,G, ,62.1,NA,4.7x4.68x2.92,Excellent,Russia,Round,Very good,59,1,NA
8149,0.4,AGSL,SI2,I, ,61.1,NA,4.74x4.76x2.91, ,Botswana,Princess, ,58,1,NA
8150,0.4,AGSL,SI2,F, ,NA,NA,4.74x4.71x2.95,Very good,Canada,Radiant,Very good,NA,1,NA
8151,0.4,AGSL,SI1,G, ,62.4,NA,4.72x4.69x2.94,Excellent,Russia,Round,Very good,58,1,NA
8152,0.4,AGSL,SI1,F, ,62.7,NA,4.67x4.62x2.91,Very good,Canada,Round,Very good,59,1,NA
8153,0.4,AGSL,VVS1,I, ,63.2,NA,4.66x4.64x2.94,Excellent,Canada,Emerald,Very good,NA,1,NA
8154,0.4,GemEx,SI2,E, ,61.7,FALSE,4.7x4.68x2.9,Excellent,Botswana,Round,Very good,58,1,NA
8155,0.4,AGSL,SI1,F, ,63,NA,4.7x4.67x2.95,Very good,Russia,Princess,Good,55,1,NA
8156,0.41,AGSL,SI2,F, ,62.1,NA,4.74x4.77x2.95, ,Canada,Round, ,NA,1,NA
8157,0.41,AGSL,SI2,F, ,62.7,NA,4.71x4.75x2.97, ,Botswana,Princess, ,NA,1,NA
8158,0.4,AGSL,VS2,I, ,62.6,NA,4.72x4.67x2.94,Excellent,Russia,Round,Very good,58,1,NA
8159,0.4,AGSL,SI1,F, ,58.9,NA,4.87x4.85x2.86,Excellent,Russia,Marquise,Excellent,NA,1,NA
8160,0.41,AGSL,SI2,H, ,61.8,NA,4.76x4.79x2.95, ,Russia,Round, ,58,1,NA
8161,0.4,AGSL,SI1,H, ,62.3,NA,4.72x4.7x2.93,Excellent,Australia,Round,Very good,NA,1,NA
8162,0.4,AGSL,SI1,H, ,59.1,NA,4.84x4.82x2.85,Excellent,Russia,Princess,Very good,60,1,NA
8163,0.4,AGSL,SI2,D, ,59.7,NA,4.82x4.79x2.87,Very good,DR Congo,Round,Very good,NA,1,NA
8164,0.42,AGSL,SI2,F, ,61.8,NA,4.83x4.8x2.98,Very good,Russia,Round,Very good,59,1,NA
8165,0.44,AGSL,VS2,J, ,61.5,NA,4.9x4.89x3.01,Excellent,Russia,Princess,Excellent,58,1,NA
8166,0.43,AGSL,SI1,I, ,62.4,NA,4.84x4.81x3.01,Excellent,Angola,Round,Excellent,56,1,NA
8167,0.4,AGSL,SI1,G, ,62.5,FALSE,4.72x4.68x2.94,Excellent,Botswana,Round,Excellent,59,1,NA
8168,0.41,AGSL,SI1,F, ,63.4,NA,4.7x4.66x2.97,Excellent,Australia,Round,Very good,NA,1,NA
8169,0.41,AGSL,SI2,F, ,62.1,NA,4.77x4.74x2.95,Excellent,Angola,Pear,Excellent,57,2,NA
8170,0.4,AGSL,SI2,G, ,61.1,NA,4.75x4.76x2.91, ,Russia,Round, ,NA,1,NA
8171,0.41,AGSL,VVS2,I, ,62.5,NA,4.79x4.77x2.99,Very good,Angola,Round,Very good,56,1,NA
8172,0.4,AGSL,SI1,E, ,63.7,NA,4.71x4.67x2.99,Very good,Russia,Round,Very good,55,2,NA
8173,0.45,AGSL,VS1,J, ,61.6,NA,4.96x4.93x3.04,Excellent,Botswana,Round,Very good,57,1,NA
8174,0.4,NA,SI1,H, ,61.1,NA,4.78x4.75x2.91,Excellent,Australia,Round,Excellent,58,1,NA
8175,0.4,AGSL,SI2,E, ,NA,NA,4.83x4.8x2.83,Very good,Russia,Round,Very good,61,1,NA
8176,0.4,NA,SI1,F, ,62.4,NA,4.71x4.69x2.94,Very good,Other/Unknown,Emerald,Excellent,NA,1,NA
8177,0.41,AGSL,VS2,I, ,61.3,NA,4.8x4.78x2.94,Very good,Australia,Round,Excellent,58,1,NA
8178,0.42,AGSL,SI2,E, ,NA,NA,4.76x4.8x3.02, ,Botswana,Oval , ,56,1,NA
8179,0.4,AGSL,SI2,H, ,62.1,NA,4.7x4.75x2.94, ,Russia,Round, ,57,1,NA
8180,0.4,AGSL,VS1,I, ,62.7,NA,4.69x4.67x2.94,Excellent,Angola,Round,Very good,60,1,NA
8181,0.4,AGSL,SI1,I, ,62.2,NA,4.75x4.76x2.96, ,Russia,Round, ,56,1,NA
8182,0.5,AGSL,VS1,K, ,NA,NA,4.96x4.89x3.16,Very good,Botswana,Round,Good,NA,1,NA
8183,0.4,AGSL,SI2,E, ,59.6,NA,4.82x4.8x2.87,Excellent,Russia,Round,Very good,58,1,NA
8184,0.4,AGSL,SI2,E, ,59.8,NA,4.82x4.8x2.87,Excellent,Russia,Round,Very good,NA,1,NA
8185,0.41,AGSL,VS1,I, ,61.7,NA,4.8x4.76x2.95,Excellent,Russia,Round,Good,56,1,NA
8186,0.4,AGSL,SI2,E, ,62.2,FALSE,4.76x4.73x2.95,Excellent,Canada,Round,Very good,56,1,NA
8187,0.4,AGSL,SI2,D, ,64,NA,4.64x4.61x2.96,Very good,Russia,Asscher,Excellent,NA,1,NA
8188,0.43,AGSL,SI2,E, ,61.9,NA,4.83x4.84x2.99, ,Russia,Round, ,58,1,NA
8189,0.4,GemEx,SI2,E, ,NA,NA,4.72x4.76x2.93, ,Botswana,Round, ,NA,1,NA
8190,0.44,NA,SI2,F, ,62.2,NA,4.9x4.88x3.04,Very good,Australia,Round,Excellent,57,1,NA
8191,0.41,AGSL,SI1,G, ,62.1,NA,4.75x4.74x2.95,Very good,Russia,Marquise,Excellent,58,1,NA
8192,0.4,AGSL,SI1,H, ,60.1,NA,4.8x4.76x2.87,Excellent,Russia,Round,Excellent,60,1,NA
8193,0.4,NA,SI2,G, ,60.3,NA,4.77x4.79x2.88, ,Australia,Round, ,60,1,NA
8194,0.4,AGSL,VVS2,H, ,63.9,NA,4.63x4.62x2.96,Excellent,Angola,Radiant,Very good,58,1,NA
8195,0.4,AGSL,SI1,D, ,64.9,NA,4.6x4.56x2.98,Very good,DR Congo,Round,Good,59,1,NA
8196,0.41,AGSL,VS2,H, ,NA,TRUE,4.86x4.83x2.91,Excellent,Angola,Round,Excellent,59,1,NA
8197,0.43,AGSL,SI2,F, ,62.6,NA,4.82x4.85x3.03, ,Russia,Round, ,57,1,NA
8198,0.42,NA,SI1,G, ,60.3,NA,4.89x4.87x2.95,Excellent,Angola,Round,Excellent,58,1,NA
8199,0.41,AGSL,VVS1,I, ,61.9,NA,4.81x4.79x2.97,Excellent,Russia,Round,Very good,57,1,NA
8200,0.5,AGSL,SI2,K, ,62.9,NA,5.06x5.02x3.17,Very good,Botswana,Pear,Very good,NA,1,NA
8201,0.46,AGSL,SI1,J, ,62.7,NA,4.89x4.91x3.07, ,Russia,Round, ,58,1,NA
8202,0.4,AGSL,SI1,E, ,63.2,NA,4.71x4.68x2.96,Very good,Canada,Oval,Very good,NA,1,NA
8203,0.41,AGSL,SI2,D, ,63.4,NA,4.71x4.68x2.98,Excellent,Russia,ROUND,Very good,58,2,NA
8204,0.4,AGSL,VS2,H, ,NA,NA,4.75x4.73x2.94,Excellent,DR Congo,Oval ,Excellent,59,1,NA
8205,0.4,AGSL,SI1,D, ,60.8,NA,4.73x4.68x2.86,Very good,Botswana,Round,Good,62,1,NA
8206,0.4,AGSL,SI1,D, ,63,FALSE,4.72x4.68x2.96,Very good,Russia,Round,Very good,58,1,NA
8207,0.4,AGSL,VS1,G, ,64.1,NA,4.66x4.62x2.97,Excellent,Russia,Round,Very good,57,1,NA
8208,0.42,AGSL,SI2,D, ,60.9,NA,4.84x4.88x2.96, ,Russia,Radiant, ,56,1,NA
8209,0.4,GemEx,SI1,E, ,62.5,NA,4.72x4.7x2.95,Very good,Australia,Round,Good,NA,1,NA
8210,0.4,AGSL,SI1,E, ,61.2,NA,4.76x4.72x2.9,Excellent,DR Congo,Marquis,Very good,59,1,NA
8211,0.4,AGSL,VS2,G, ,63.7,NA,4.72x4.68x2.99,Very good,Australia,Princess,Very good,NA,1,NA
8212,0.42,AGSL,SI2,E, ,60.7,NA,4.89x4.86x2.96,Excellent,South Africa,Round,Very good,57,1,NA
8213,0.4,AGSL,VS2,G, ,62.4,NA,4.7x4.68x2.92,Excellent,Russia,Radiant,Excellent,NA,1,NA
8214,0.4,AGSL,VS2,F, ,63.8,NA,4.69x4.64x2.97,Excellent,Angola,Uncut,Very good,55,1,NA
8215,0.51,AGSL,SI1,L, ,61.9,NA,5.14x5.12x3.17,Excellent,Russia,Round,Excellent,57,1,NA
8216,0.46,AGSL,SI2,F, ,63.8,NA,4.8x4.84x3.07, ,Russia,Oval, ,NA,1,NA
8217,0.4,AGSL,SI2,E, ,62.1,NA,4.74x4.72x2.94,Excellent,Botswana,Round,Excellent,NA,1,NA
8218,0.41,AGSL,SI2,D, ,60.8,TRUE,4.8x4.79x2.92,Very good,DR Congo,ROUND,Excellent,59,1,NA
8219,0.4,NA,VVS2,F, ,64.9,NA,4.62x4.56x2.98,Excellent,Botswana,Oval,Very good,56,1,NA
8220,0.43,AGSL,SI2,D, ,62.2,NA,4.83x4.81x3,Very good,Russia,Emerald,Excellent,56,1,NA
8221,0.44,AGSL,SI1,F, ,NA,FALSE,4.87x4.85x3.03,Excellent,Russia,Radiant,Excellent,57,2,NA
8222,0.43,AGSL,SI2,E, ,NA,NA,4.81x4.83x3.01, ,Russia,Emerald, ,NA,1,NA
8223,0.4,NA,VS1,F, ,63.4,NA,4.69x4.66x2.97,Very good,Botswana,Round,Very good,NA,1,NA
8224,0.4,AGSL,SI1,H, ,NA,NA,4.71x4.73x2.95, ,Russia,Emerald, ,56,1,NA
8225,0.43,NA,SI2,G, ,61.9,NA,4.84x4.89x3.01,Excellent,Russia,Round,Very good,55,1,NA
8226,0.4,AGSL,VVS2,F, ,NA,NA,4.66x4.61x2.97,Very good,Russia,Round,Very good,59,1,NA
8227,0.4,GemEx,VS2,E, ,63.5,FALSE,4.64x4.58x2.93,Very good,Australia,Pear,Good,NA,1,NA
8228,0.4,AGSL,VS2,G, ,NA,NA,4.78x4.73x2.93,Very good,Australia,Round,Very good,56,1,NA
8229,0.42,AGSL,SI2,E, ,61.7,NA,4.86x4.83x2.99,Excellent,Russia,Round,Excellent,57,1,NA
8230,0.4,AGSL,SI1,F, ,NA,NA,4.67x4.7x2.88,Very good,Australia,Round,Very good,NA,1,NA
8231,0.41,AGSL,VS2,G, ,61.5,FALSE,4.78x4.76x2.94,Excellent,Russia,Round,Very good,60,1,NA
8232,0.4,AGSL,VS2,G, ,61.8,NA,4.73x4.71x2.92,Very good,DR Congo,Round,Very good,60,1,NA
8233,0.4,AGSL,SI1,D, ,61,NA,4.8x4.78x2.93,Excellent,Russia,Emerald,Very good,NA,1,NA
8234,0.4,AGSL,VVS2,H, ,62.4,NA,4.75x4.72x2.96,Excellent,Angola,Round,Excellent,57,1,NA
8235,0.44,AGSL,SI2,E, ,62.2,NA,4.88x4.86x3.03,Very good,Russia,Round,Excellent,58,2,NA
8236,0.51,AGSL,SI1,K, ,63.4,NA,5.07x5.03x3.21,Very good,Australia,ROUND,Very good,58,1,NA
8237,0.6,AGSL,SI2,L, ,61.9,FALSE,5.36x5.33x3.31,Excellent,Angola,Round,Very good,NA,1,NA
8238,0.41,AGSL,SI1,E, ,60,NA,4.84x4.8x2.89,Very good,Botswana,Emerald,Excellent,58,1,NA
8239,0.4,AGSL,VS2,G, ,60,NA,4.81x4.78x2.88,Very good,DR Congo,Round,Very good,59,1,NA
8240,0.4,GemEx,VS2,G, ,NA,NA,4.78x4.75x2.81,Excellent,Russia,Princess,Very good,63,1,NA
8241,0.46,AGSL,SI2,I, ,62,NA,4.97x5x3.09, ,Botswana,Round, ,58,1,NA
8242,0.43,GemEx,SI2,E, ,61.1,NA,4.9x4.88x2.99,Excellent,Canada,Round,Excellent,57,1,NA
8243,0.5,AGSL,SI2,J, ,63.9,NA,5.05x5.01x3.21,Very good,DR Congo,Radiant,Excellent,NA,1,NA
8244,0.42,AGSL,SI1,E, ,61.1,NA,4.8x4.81x2.94, ,DR Congo,Round, ,NA,1,NA
8245,0.52,AGSL,VS1,L, ,62,NA,5.18x5.16x3.21,Very good,Russia,Radiant,Very good,58,2,NA
8246,0.4,AGSL,SI1,E, ,61.5,NA,4.75x4.73x2.92,Excellent,Canada,Round,Excellent,NA,1,NA
8247,0.4,AGSL,SI1,D, ,60.7,NA,4.79x4.72x2.88,Excellent,Russia,Round,Very good,62,1,NA
8248,0.4,AGSL,VS2,F, ,NA,FALSE,4.81x4.79x2.87,Excellent,Russia,Radiant,Very good,NA,1,NA
8249,0.41,AGSL,VS2,G, ,58.5,NA,4.93x4.92x2.88,Very good,Australia,Pear,Excellent,60,1,NA
8250,0.44,AGSL,SI1,F, ,61.7,NA,4.9x4.86x3.01,Excellent,Angola,Round,Excellent,58,1,NA
8251,0.41,AGSL,SI1,E, ,62.7,NA,4.79x4.77x3,Excellent,Canada,Round,Excellent,53,1,NA
8252,0.6,AGSL,VS1,M, ,62.4,NA,5.37x5.32x3.34,Excellent,Russia,Oval ,Very good,NA,1,NA
8253,0.51,AGSL,SI1,K, ,NA,NA,5.14x5.13x3.18,Excellent,Russia,Asscher,Excellent,NA,1,NA
8254,0.43,AGSL,VS1,H, ,61.9,NA,4.85x4.84x3,Excellent,Russia,Princess,Excellent,58,1,NA
8255,0.4,AGSL,VS2,F, ,60.9,FALSE,4.82x4.79x2.93,Excellent,Russia,Round,Excellent,NA,1,NA
8256,0.46,AGSL,SI2,E, ,60,NA,4.98x5x3, ,Russia,Round, ,61,1,NA
8257,0.51,AGSL,VS2,K, ,62,NA,5.13x5.09x3.17,Very good,Russia,Oval,Very good,NA,1,NA
8258,0.54,GemEx,VS2,L, ,60.4,NA,5.3x5.27x3.19,Excellent,Australia,Oval,Excellent,59,1,NA
8259,0.41,NA,VS2,F, ,62.3,NA,4.78x4.77x2.97,Excellent,Australia,Round,Excellent,NA,1,NA
8260,0.46,AGSL,SI2,D, ,63.9,NA,4.86x4.89x3.12, ,Russia,Round, ,NA,1,NA
8261,0.4,AGSL,VS2,E, ,62,NA,4.76x4.73x2.94,Excellent,Russia,Round,Very good,58,1,NA
8262,0.61,AGSL,VS1,M, ,61.5,NA,5.48x5.45x3.36,Excellent,Russia,Round,Very good,NA,1,NA
8263,0.46,AGSL,SI2,F, ,62.6,FALSE,4.94x4.95x3.1, ,DR Congo,Round, ,54,1,NA
8264,0.44,AGSL,VS1,H, ,NA,NA,4.89x4.87x3.06,Excellent,DR Congo,Round,Excellent,NA,1,NA
8265,0.46,AGSL,SI2,H, ,63.2,NA,4.86x4.89x3.08, ,Canada,Emerald, ,NA,1,NA
8266,0.45,AGSL,SI1,I, ,62.7,FALSE,4.88x4.9x3.06, ,Russia,Round, ,55,1,NA
8267,0.42,AGSL,SI1,D, ,62.2,NA,4.81x4.78x2.98,Excellent,Australia,Pear,Very good,56,1,NA
8268,0.6,AGSL,SI2,L, ,59.9,NA,5.51x5.49x3.3,Excellent,Botswana,Round,Excellent,NA,2,NA
8269,0.41,AGSL,VS2,E, ,62.7,NA,4.77x4.73x2.98,Excellent,Australia,Round,Very good,57,1,NA
8270,0.46,AGSL,SI2,G, ,60.7,FALSE,4.97x5.01x3.03, ,Canada,Pear, ,61,1,NA
8271,0.54,AGSL,I1,E, ,61.7,NA,5.25x5.23x3.23,Very good,Canada,Round,Very good,60,1,NA
8272,0.45,NA,SI2,D, ,60.6,NA,4.98x4.96x3.01,Excellent,Canada,Round,Very good,59,1,NA
8273,0.53,AGSL,SI1,K, ,62.4,NA,5.2x5.18x3.24,Excellent,Russia,Princess,Excellent,NA,1,NA
